Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),15,1,4,0,6,0,3,0,10,0,"39 (including ""28"" Supernumerary)",170 28
,,,Total Seats,76,4,19,1,29,1,14,1,51,2,198,170 28
Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,35,1,8,1,12,1,6,1,23,1,89,90 22
Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),8,0,3,0,3,0,3,0,6,0,"23 (including ""22"" Supernumerary)",90 22
,,,Total Seats,43,1,11,1,15,1,9,1,29,1,112,90 22
Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",All India,Gender-Neutral,18,1,5,0,6,1,3,0,11,1,46,52 6
Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),5,0,1,0,2,0,1,0,3,0,"12 (including ""6"" Supernumerary)",52 6
,,,Total Seats,23,1,6,0,8,1,4,0,14,1,58,52 6
Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,64,3,15,1,24,1,10,1,42,2,163,169 33
Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),16,0,4,0,6,0,3,0,10,0,"39 (including ""33"" Supernumerary)",169 33
,,,Total Seats,80,3,19,1,30,1,13,1,52,2,202,169 33
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",All India,Gender-Neutral,34,1,8,0,12,0,6,0,21,1,83,102 3
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),7,0,2,1,3,1,2,1,5,0,"22 (including ""3"" Supernumerary)",102 3
,,,Total Seats,41,1,10,1,15,1,8,1,26,1,105,102 3
Indian Institute of Technology Bombay,"Industrial Engineering and Operations Research (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,1,3,0,5,0,2,0,8,1,32,36 4
Indian Institute of Technology Bombay,"Industrial Engineering and Operations Research (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,"8 (including ""4"" Supernumerary)",36 4
,,,Total Seats,15,1,4,0,6,0,3,0,10,1,40,36 4
Indian Institute of Technology Bombay,"Energy Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,15,0,3,1,6,0,2,1,9,0,37,41 6
Indian Institute of Technology Bombay,"Energy Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),4,0,1,0,1,0,1,0,3,0,"10 (including ""6"" Supernumerary)",41 6
,,,Total Seats,19,0,4,1,7,0,3,1,12,0,47,41 6
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",All India,Gender-Neutral,12,0,2,1,3,1,2,0,7,0,28,35 0
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",All India,Female-only (including Supernumerary),2,0,1,0,1,0,1,0,2,0,"7 (including ""0"" Supernumerary)",35 0
,,,Total Seats,14,0,3,1,4,1,3,0,9,0,35,35 0
Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",All India,Gender-Neutral,13,0,2,1,4,1,2,0,9,0,32,40 0
Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",All India,Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,"8 (including ""0"" Supernumerary)",40 0
,,,Total Seats,16,0,3,1,5,1,3,0,11,0,40,40 0
Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",All India,Gender-Neutral,6,0,1,0,2,0,1,0,3,1,14,18 0
Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",All India,Female-only (including Supernumerary),1,0,1,0,1,0,0,0,1,0,"4 (including ""0"" Supernumerary)",18 0
,,,Total Seats,7,0,2,0,3,0,1,0,4,1,18,18 0
Indian Institute of Technology Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",All India,Gender-Neutral,8,1,2,0,3,0,2,0,6,0,22,25 3
Indian Institute of Technology Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",All India,Female-only (including Supernumerary),2,0,1,0,1,0,1,0,1,0,"6 (including ""3"" Supernumerary)",25 3
,,,Total Seats,10,1,3,0,4,0,3,0,7,0,28,25 3
Indian Institute of Technology Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,29,1,7,1,10,1,5,0,18,1,73,80 9
Indian Institute of Technology Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),6,0,2,0,3,0,1,0,4,0,"16 (including ""9"" Supernumerary)",80 9
,,,Total Seats,35,1,9,1,13,1,6,0,22,1,89,80 9
Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,16,0,3,1,6,0,3,0,10,1,40,46 4
Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),3,1,1,0,1,0,1,0,3,0,"10 (including ""4"" Supernumerary)",46 4
,,,Total Seats,19,1,4,1,7,0,4,0,13,1,50,46 4
Indian Institute of Technology Mandi,"B.Tech in General Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,9,1,2,0,4,0,2,0,6,0,24,30 0
Indian Institute of Technology Mandi,"B.Tech in General Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),2,0,1,0,1,0,0,0,2,0,"6 (including ""0"" Supernumerary)",30 0
,,,Total Seats,11,1,3,0,5,0,2,0,8,0,30,30 0
Indian Institute of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,25,1,6,0,9,1,4,1,16,1,64,74 6
Indian Institute of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),6,1,2,0,2,0,1,0,4,0,"16 (including ""6"" Supernumerary)",74 6
,,,Total Seats,31,2,8,0,11,1,5,1,20,1,80,74 6
Indian Institute of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,22,1,6,0,7,1,4,0,14,1,56,67 3
Indian Institute of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),6,0,1,0,2,0,1,0,3,1,"14 (including ""3"" Supernumerary)",67 3
,,,Total Seats,28,1,7,0,9,1,5,0,17,2,70,67 3
Indian Institute of Technology Mandi,"Engineering Physics (4 Years, Bachelor of Technology)",All India,Gender-Neutral,10,0,2,0,3,1,2,0,6,0,24,30 0
Indian Institute of Technology Mandi,"Engineering Physics (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),2,0,1,0,1,0,0,0,2,0,"6 (including ""0"" Supernumerary)",30 0
,,,Total Seats,12,0,3,0,4,1,2,0,8,0,30,30 0
Indian Institute of Technology Mandi,"B.Tech in Materials Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,11,0,2,0,3,0,2,0,5,1,24,30 0
Indian Institute of Technology Mandi,"B.Tech in Materials Science and Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),2,0,1,0,1,0,0,0,2,0,"6 (including ""0"" Supernumerary)",30 0
,,,Total Seats,13,0,3,0,4,0,2,0,7,1,30,30 0
